sortNumber;code;officialTitle;mediumTitle;shortTitle
1;SK0101528595;Bratislava - mestska cast Stare Mesto;Bratislava-Stare Mesto;Bratislava-Stare Mesto
2;SK0102529311;Bratislava - mestska cast Podunajske Biskupice;Bratislava-Podunajske Biskupice;Bratislava-Pod.Biskup.
3;SK0102529320;Bratislava - mestska cast Ruzinov;Bratislava-Ruzinov;Bratislava-Ruzinov
4;SK0102529338;Bratislava - mestska cast Vrakuna;Bratislava-Vrakuna;Bratislava-Vrakuna
5;SK0103529346;Bratislava - mestska cast Nove Mesto;Bratislava-Nove Mesto;Bratislava-Nove Mesto
6;SK0103529354;Bratislava - mestska cast Raca;Bratislava-Raca;Bratislava-Raca
7;SK0103529362;Bratislava - mestska cast Vajnory;Bratislava-Vajnory;Bratislava-Vajnory
8;SK0104529371;Bratislava - mestska cast Devinska Nova Ves;Bratislava-Devinska Nova Ves;Bratislava-Dev.Nova Ves
9;SK0104529389;Bratislava - mestska cast Dubravka;Bratislava-Dubravka;Bratislava-Dubravka
10;SK0104529397;Bratislava - mestska cast Karlova Ves;Bratislava-Karlova Ves;Bratislava-Karlova Ves
11;SK0104529401;Bratislava - mestska cast Devin;Bratislava-Devin;Bratislava-Devin
12;SK0104529419;Bratislava - mestska cast Lamac;Bratislava-Lamac;Bratislava-Lamac
13;SK0104529427;Bratislava - mestska cast Zahorska Bystrica;Bratislava-Zahorska Bystrica;Bratislava-Zahor.Bystr.
14;SK0105529435;Bratislava - mestska cast Cunovo;Bratislava-Cunovo;Bratislava-Cunovo
15;SK0105529443;Bratislava - mestska cast Jarovce;Bratislava-Jarovce;Bratislava-Jarovce
16;SK0105529460;Bratislava - mestska cast Petrzalka;Bratislava-Petrzalka;Bratislava-Petrzalka
17;SK0105529494;Bratislava - mestska cast Rusovce;Bratislava-Rusovce;Bratislava-Rusovce
18;SK0106500267;Zahorie (vojensky obvod);Zahorie;Zahorie (voj.obvod)
19;SK0106504556;Male Levare;Male Levare;Male Levare
20;SK0106504629;Plavecke Podhradie;Plavecke Podhradie;Plavecke Podhradie
21;SK0106504637;Plavecky Mikulas;Plavecky Mikulas;Plavecky Mikulas
22;SK0106504769;Rohoznik;Rohoznik;Rohoznik
23;SK0106504858;Solosnica;Solosnica;Solosnica
24;SK0106504874;Studienka;Studienka;Studienka
25;SK0106504947;Velke Levare;Velke Levare;Velke Levare
26;SK0106504980;Zavod;Zavod;Zavod
27;SK0106507831;Borinka;Borinka;Borinka
28;SK0106507890;Gajary;Gajary;Gajary
29;SK0106507954;Jablonove;Jablonove;Jablonove
30;SK0106507962;Jakubov;Jakubov;Jakubov
31;SK0106508012;Kostoliste;Kostoliste;Kostoliste
32;SK0106508021;Kuchyna;Kuchyna;Kuchyna
33;SK0106508039;Lab;Lab;Lab
34;SK0106508055;Lozorno;Lozorno;Lozorno
35;SK0106508063;Malacky;Malacky;Malacky
36;SK0106508080;Marianka;Marianka;Marianka
37;SK0106508161;Pernek;Pernek;Pernek
38;SK0106508195;Plavecky Stvrtok;Plavecky Stvrtok;Plavecky Stvrtok
39;SK0106508233;Stupava;Stupava;Stupava
40;SK0106508241;Suchohrad;Suchohrad;Suchohrad
41;SK0106508349;Vysoka pri Morave;Vysoka pri Morave;Vysoka pri Morave
42;SK0106508365;Zahorska Ves;Zahorska Ves;Zahorska Ves
43;SK0106508381;Zohor;Zohor;Zohor
44;SK0107507806;Bahon;Bahon;Bahon
45;SK0107507849;Budmerice;Budmerice;Budmerice
46;SK0107507857;Casta;Casta;Casta
47;SK0107507873;Dolany;Dolany;Dolany
48;SK0107507881;Dubova;Dubova;Dubova
49;SK0107507946;Jablonec;Jablonec;Jablonec
50;SK0107507989;Svaty Jur;Svaty Jur;Svaty Jur
51;SK0107508047;Limbach;Limbach;Limbach
52;SK0107508101;Modra;Modra;Modra
53;SK0107508179;Pezinok;Pezinok;Pezinok
54;SK0107508187;Pila;Pila;Pila
55;SK0107508225;Slovensky Grob;Slovensky Grob;Slovensky Grob
56;SK0107508250;Senkvice;Senkvice;Senkvice
57;SK0107508268;Stefanova;Stefanova;Stefanova
58;SK0107508306;Vinicne;Vinicne;Vinicne
59;SK0107508314;Vinosady;Vinosady;Vinosady
